Lineage,Hemisphere,Category,Count
CP4,Right,suNB,1
DALcl1/2d,Left,suNB,0
DALcl1/2d,Right,suNB,0
DALcl1/2v,Left,suNB,1
DALcl1/2v,Right,suNB,2
DALcm1/2m,Left,suNB,0
DALcm1/2m,Right,suNB,2
DALcm1/2v,Left,suNB,0
DALcm1/2v,Right,suNB,0
DALd,Left,suNB,1
DALd,Right,suNB,1
DALl1,Left,suNB,1
DALl1,Right,suNB,2
DALv1,Left,suNB,0
DALv1,Right,suNB,0
DALv2/3,Left,suNB,2
DALv2/3,Right,suNB,2
DALv2/3accl,Left,suNB,0
DALv2/3accl,Right,suNB,0
DALv2/3accm,Left,suNB,0
DALv2/3accm,Right,suNB,0
DALv2/3accvl,Left,suNB,0
DALv2/3accvl,Right,suNB,0
DALv2/3accvm,Left,suNB,0
DALv2/3accvm,Right,suNB,0
DAMd1,Left,suNB,1
DAMd1,Right,suNB,1
DAMd2/3,Left,suNB,0
DAMd2/3,Right,suNB,2
DAMv1/2,Left,suNB,2
DAMv1/2,Right,suNB,2
DILP,Left,suNB,1
DILP,Right,suNB,0
DPLal1-3,Left,suNB,1
DPLal1-3,Right,suNB,3
DPLam,Left,suNB,1
DPLam,Right,suNB,0
DPLc1,Left,suNB,2
DPLc1,Right,suNB,2
DPLc2,Left,suNB,0
DPLc2,Right,suNB,2
DPLc3,Left,suNB,0
DPLc3,Right,suNB,0
DPLc4,Left,suNB,1
DPLc4,Right,suNB,1
DPLc5a,Left,suNB,0
DPLc5a,Right,suNB,1
DPLc5p,Left,suNB,3
DPLc5p,Right,suNB,2
DPLd,Left,suNB,1
DPLd,Right,suNB,1
DPLl1-3,Left,suNB,2
DPLl1-3,Right,suNB,2
DPLm1,Left,suNB,1
DPLm1,Right,suNB,1
DPLm2,Left,suNB,1
DPLm2,Right,suNB,1
DPLp1/2,Left,suNB,1
DPLp1/2,Right,suNB,1
DPMl1,Left,suNB,1
DPMl1,Right,suNB,1
DPMl2,Left,suNB,0
DPMl2,Right,suNB,0
DPMl3/4a,Left,suNB,1
DPMl3/4a,Right,suNB,1
DPMl3/4p,Left,suNB,0
DPMl3/4p,Right,suNB,0
DPMm1,Left,suNB,0
DPMm1,Right,suNB,1
DPMm2,Left,suNB,1
DPMm2,Right,suNB,1
DPMpl1/2,Left,suNB,2
DPMpl1/2,Right,suNB,1
DPMpl3,Left,suNB,0
DPMpl3,Right,suNB,1
DPMpm1,Left,suNB,1
DPMpm1,Right,suNB,1
DPMpm2,Left,suNB,4
DPMpm2,Right,suNB,1
MB-AL,Left,suNB,0
MB-AL,Right,suNB,1
MB-AM,Left,suNB,0
MB-AM,Right,suNB,0
MB-PL,Left,suNB,0
MB-PL,Right,suNB,0
MB-PM,Left,suNB,0
MB-PM,Right,suNB,0
OLP,Left,suNB,0
OLP,Right,suNB,0
S-AN,Left,suNB,0
S-AN,Right,suNB,0
S-LNa,Left,suNB,0
S-LNa,Right,suNB,0
S-LNad,Left,suNB,0
S-LNad,Right,suNB,0
S-LNp,Left,suNB,0
S-LNp,Right,suNB,0
S-MNa,Left,suNB,0
